"","rstudent","dffits","cook.d","cov.r","tau2.del","QE.del","hat","weight","inf"
"179",-1.09531337326457,-0.071392043481209,0.00508828667554204,1.00271145790974,0.802906393137165,1223.15982126173,0.00409132410128163,0.409132410128163,""
"180",0.129791244058523,0.0124316438410383,0.000155465589147644,1.00904758025526,0.809898824030814,1233.63635958394,0.0042208841026393,0.42208841026393,""
"181",-1.13110287829547,-0.0739605818585482,0.00545849988420564,1.00232080656169,0.802473230893573,1222.64373473939,0.00408527316677062,0.408527316677062,""
"182",0.195029466113372,0.0166183924866057,0.00027779088831957,1.00897771197704,0.809817179133881,1233.60330831681,0.00422343510878219,0.422343510878219,""
"185",0.31858167361001,0.0199344847476644,0.00039846261768448,1.00609857556886,0.808025098642786,1233.52442261334,0.00294313290914031,0.294313290914031,""
"186",0.421207375834643,0.0253422797979666,0.000643855758185835,1.0058836934203,0.807779751326972,1233.38575521624,0.00294596742335866,0.294596742335866,""
"187",-1.0072449279907,-0.0514721513870762,0.00264864102438152,1.00220969454826,0.804061971862634,1230.96347782243,0.00257388862018634,0.257388862018633,""
"188",-0.566947143734969,-0.0282228670010746,0.000797791796674714,1.00472591029379,0.806682898795656,1232.55654263148,0.00276281494539582,0.276281494539582,""
"189",0.681099493870991,0.038672654820364,0.00149820709462086,1.00498995293494,0.806784272060799,1232.79356502608,0.00293578476123825,0.293578476123825,""
"190",0.537769280140373,0.0313913736471978,0.000987622112620733,1.00554399124706,0.80739865033416,1233.16210555304,0.00294449528870287,0.294449528870287,""
"191",0.445233681672844,0.0265976981727344,0.000709189375775796,1.00582194521494,0.807710053255634,1233.34536890279,0.00294607351840421,0.29460735184042,""
"192",0.445233681672844,0.0265976981727344,0.000709189375775796,1.00582194521494,0.807710053255634,1233.34536890279,0.00294607351840421,0.29460735184042,""
"193",0.410732666835862,0.0300991469474818,0.00091060404522104,1.00838134077811,0.80917550398342,1232.99658836771,0.00419654617446071,0.419654617446071,""
"194",0.531277295004095,0.0375141395813736,0.00141366870098002,1.00788600677457,0.808616281174407,1232.31995667491,0.00419739141703483,0.419739141703483,""
"195",-0.338911187701463,-0.018489237690729,0.000343545062848001,1.00823775386142,0.809062498937454,1231.9247541123,0.00415350558865528,0.415350558865528,""
"196",0.607316006909684,0.0421293970314588,0.00178206172406019,1.00750004109956,0.808181679298676,1231.77141589942,0.00419705514716546,0.419705514716546,""
"197",-0.553872423860782,-0.0258032532645337,0.000666628399987929,1.00416070374492,0.806442351370254,1232.77063085029,0.00241320361671224,0.241320361671223,""
"198",0.359865215629733,0.0206980732121858,0.000429305302594641,1.00534699251283,0.807554304613203,1233.49292478075,0.00261154589754262,0.261154589754261,""
"199",-1.09012320754889,-0.0511589725783283,0.00261595340517701,1.00136510391697,0.803597896974614,1231.09435876707,0.00214305600045263,0.214305600045263,""
"200",0.398690123046878,0.0226262284456324,0.000512986785188332,1.00527294733604,0.807470097712388,1233.44586078769,0.00261221980281313,0.261221980281313,""
"201",0.613166034067353,0.0330696971082564,0.0010953320791452,1.00467952202843,0.806810601547887,1233.06807502353,0.00260408587812983,0.260408587812983,""
"202",0.658240500574909,0.0352127286830869,0.00124174099911955,1.00451612796354,0.80663134230787,1232.96403485526,0.00259979860740094,0.259979860740094,""
"203",0.571146916855469,0.0310544835971115,0.000966007113049279,1.00481996306367,0.806965246567582,1233.15751391742,0.00260727173453065,0.260727173453065,""
